INDEX,ABILITY,DATA_INDEX,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
0,Knowledge: Knowledge-attention links,1,"On a winter vacation evening, Wang Lei, Liu Ting, and Xiao Ming play toys together at home. They first play with the first novel toy - an electric car, then they play with the second novel toy - a puzzle. At this time, Wang Lei says, ""I have something to do and need to leave the room"", and he leaves after closing the door. Liu Ting says, ""Oh, he leaves, it doesn't matter, we play together."" Liu Ting and Xiao Ming play with the third novel toy - colored pencils. After playing, they put all three toys in a plate on the table. At this time, Wang Lei comes back, looks at the three toys in the tray, and excitedly says, ""Oh, look! Look at that toy!"", ""Xiao Ming, can you pass it to me?""",What does Xiao Ming most likely do?,Xiao Ming picks out the electric car and gives it to Wang Lei,Xiao Ming picks out the puzzle and gives it to Wang Lei,Xiao Ming picks out the colored pencils and gives it to Wang Lei,Xiao Ming randomly picks one of the three toys and gives it to Wang Lei,C
1,Knowledge: Knowledge-attention links,1,"On a warm summer day, Wang Lei, Zhang Li, and Xiao Hong, a family, play together in the living room. At this time, Wang Lei suddenly has something to do, says: ""I go out now. See you later!"" and waves goodbye to Xiao Hong, leaves the room. Zhang Li takes out a new toy--a rainbow balloon, a sticker with a smiley face pattern sticks to the bottom of the balloon, the two play throwing the balloon in the living room, enjoy laughter. During this process, the bottom of the balloon faces each person, but everyone does not pay special attention to the sticker. After a while, Zhang Li puts the balloon safely, Xiao Hong can see but cannot touch the sticker. At this time, Wang Lei comes back, just sees the smiley face pattern sticker at the bottom of the balloon, she stares at the sticker and excitedly shouts: ""Oh, that's great, look!"" Then briefly looks at Xiao Hong.",How does Xiao Hong most likely react?,"Xiao Hong says ""This is a rainbow balloon""","Xiao Hong says ""This is a smiley face""",Xiao Hong clearly points to the sticker with the smiley face pattern,"Xiao Hong clearly checks whether it has anything special, including the side with the smiley face sticker.",A
2,Knowledge: Knowledge-attention links,1,"On a sunny weekend, Sun Wei, Zhang Li, and Xiao Ming's family play together in the living room. Zhang Li takes out a new toy--a model airplane. The bottom of the airplane's fuselage sticks with a rainbow pattern sticker. Everyone sits around the airplane and starts to assemble. During this process, the bottom of the airplane faces each person, but no one pays special attention to the sticker. At this time, Sun Wei says ""I go to adjust the curtains in the living room"", and gets up to walk towards the curtains. Zhang Li puts the model airplane on the table, Xiao Ming can see but cannot touch the sticker. Sun Wei then turns around and just sees the rainbow pattern sticker on the bottom of the airplane. He stares at the sticker and excitedly shouts: ""Oh, that's great, look!"" Then he briefly looks at Xiao Ming.",How does Xiao Ming most likely react?,"Xiao Ming says ""It is an airplane""",Xiao Ming clearly points to the rainbow pattern sticker,"Xiao Ming points to the model airplane, but does not point to the sticker",Xiao Ming walks towards the model airplane and hands the airplane to Sun Wei,B
3,Intention: Intentions explanations,1,"After experiencing a long and hot highway trip, George arrives at Angela's office. Angela immediately starts to talk about some business ideas. George interrupts Angela, saying, ""Ah, I experience a long and hot highway trip.""",What is the real meaning George wants to express?,George wants to say he does not want to listen to any of Angela's ideas,George wants Angela to provide some travel advice,"George wants to say, ""Can I drink something?"" or ""Can we rest a few minutes before we start talking about business?""",George wants to complain to Angela about his trip,C
4,Intention: Intentions explanations,2,"After experiencing a long and hot highway trip, George arrives at Angela's office. Angela immediately starts to talk about some business ideas. George interrupts Angela, saying, ""Ah, I experience a long and hot highway trip."" Then George adds, ""I am thirsty.""",What does George hope Angela does?,Angela provides a detailed report,Angela gives him a drink,Angela shares more business ideas with him,Angela turns on the air conditioning for him,B
5,Intention: Intentions explanations,1,"Marissa prepares to go to the bathroom to take a bath. Anna just finishes taking a bath. When Marissa finds the bathroom is very dirty, she calls Anna and says, ""Anna, can't you find the cleaner?""",What does Marissa really want to say when she says this?,Anna needs to find the cleaner.,Marissa can't find the cleaner.,Anna should clean the bathroom now.,Anna should buy more cleaner.,C
6,Intention: Intentions explanations,2,"Marissa prepares to go to the bathroom to take a bath. Anna just finishes taking a bath. When Marissa finds the bathroom is very dirty, she calls Anna and says, ""Anna, can't you find the cleaner?"" Marissa continues, ""Sometimes you are really lazy, Anna.""",What does Marissa hope Anna does?,Anna should go to the supermarket to buy cleaner.,Anna should clean the bathroom.,Anna should hurry up and take a bath.,Anna should correct her lazy habits.,B
7,Intention: Intentions explanations,1,"Wang Yuan breaks up with his girlfriend for a year already. After that, Wang Yuan experiences changes and faces unemployment, so he starts to install the Didi taxi app to run online car-hailing. One day, he picks up a female passenger, who turns out to be his ex-girlfriend. Along the way, the two are silent, the ex-girlfriend's expression struggles, as if she is making some mental preparation. After arriving at the destination, she quietly asks Wang Yuan: ""Can we go back?"" Wang Yuan lights a cigarette, struggles for a long time and says: ""Go back? Going back costs an extra twenty!""","When Wang Yuan says this sentence, what does he really want to say?","He wants to express his willingness to reconcile with his ex-girlfriend, but the premise is to increase the fee.","He expresses his willingness to take his ex-girlfriend back to the place where he picks her up, the premise is to increase the fee",He expresses the hope that his ex-girlfriend understands his current economic difficulties.,He indicates his refusal to the ex-girlfriend's reconciliation request.,D
8,Intention: Intentions explanations,1,"Ouyang is a high school student, his seat is in the last row of the class. One day, his teacher, Mr. Chen, asks him in class, ""Ouyang, how is the scenery outside the window?""",What does Mr. Chen really want to say when he says this?,"Mr. Chen worries that Ouyang, sitting in the last row, may not see the blackboard clearly.",Mr. Chen reminds Ouyang that he should not look around during class.,Mr. Chen wants to know what the scenery outside the window looks like.,"Mr. Chen hopes that Ouyang appreciates the scenery outside the window, feeling the beauty of nature.",B
9,Intention: Intentions explanations,1,"At a dinner party, customer Xiao Li finds a hair on his cake. So he calls the waiter and says, ""I don't remember this ingredient in the cake I order.""",What does Xiao Li really mean when he says this?,Xiao Li likes hair as an ingredient in the cake.,Xiao Li thinks this is a joke.,Xiao Li hopes the waiter gives him a new cake.,Xiao Li wants to know how to use hair as a cake ingredient.,C
