INDEX,STORY,QUERY
0,"Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.",<question>###QUESTION: Why does Xiao Hong smile at Xiao Fang?</question><option>###OPTION: A. Xiao Hong smiles because she sees something interesting on the playground. B. Xiao Hong smiles because she remembers a joke about Xiao Mei. C. Xiao Hong smiles because she thinks it is fun to play after school. D. Xiao Hong smiles at Xiao Fang to suggest making new friends together.</option>
1,"Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.","<question>###QUESTION: How do you think Xiao Mei feels?</question><option>###OPTION: A. Xiao Mei feels excited because she thinks Xiao Hong and Xiao Fang want to play on the swing together. B. Xiao Mei feels curious, possibly a bit worried. C. Xiao Mei feels a little scared, worried they will bully her. D. Xiao Mei feels very happy, thinking they are going to give her a surprise.</option>"
2,"Yang Hui and Xiao Lin are counselors, they are jointly planning a volunteer activity. They are preparing in the classroom, Yang Hui suddenly looks at Xiao Wang who is studying in the back row of the classroom, and whispers something to Xiao Lin, only the three of them are in the classroom. Then the two look at each other and laugh. When they finish this ""whisper"", Yang Hui leads to Xiao Wang and invites Xiao Wang to participate in this volunteer activity. Xiao Wang sees the secret talk between Yang Hui and Xiao Lin, and remembers their smiles and eye contact.","<question>###QUESTION: Why do Yang Hui and Xiao Lin look at each other and then laugh?</question><option>###OPTION: A. Yang Hui and Xiao Lin laugh at each other because of the interesting things that happen in planning the volunteer activity. B. Yang Hui and Xiao Lin come up with an idea for a volunteer activity that makes them happy. C. Yang Hui and Xiao Lin both think that Xiao Wang is capable of organizing this activity, so they laugh. D. Yang Hui and Xiao Lin discuss the interesting things about Xiao Wang, and they smile because of this.</option>"
3,"Yang Hui and Xiao Lin are counselors, they are jointly planning a volunteer activity. They are preparing in the classroom, Yang Hui suddenly looks at Xiao Wang who is studying in the back row of the classroom, and whispers something to Xiao Lin, only the three of them are in the classroom. Then the two look at each other and laugh. When they finish this ""whisper"", Yang Hui leads to Xiao Wang and invites Xiao Wang to participate in this volunteer activity. Xiao Wang sees the secret talk between Yang Hui and Xiao Lin, and remembers their smiles and eye contact.","<question>###QUESTION: What do you think Xiao Wang feels?</question><option>###OPTION: A. Xiao Wang possibly feels angry because the two people discuss this matter without informing him in advance. B. Xiao Wang possibly feels a bit nervous and uneasy about his future task. C. Xiao Wang possibly does not understand why Yang Hui and Xiao Lin laugh, feels puzzled. D. Xiao Wang possibly thinks that he is chosen by Yang Hui and Xiao Lin because his ability is recognized, feels proud.</option>"
4,"Mingming, Xiaohan, and Weiguang are good friends, they plan to drive together for a trip. The three people do not decide where to play, so they are discussing the details of the trip at this moment. Among many tourist attractions, most tourists choose A and B attractions, and fewer people choose C attractions. At this time, Xiaohan and Weiguang look at each other, then Xiaohan reaches out and pats Mingming who is facing away from them. Then, Xiaohan looks at Weiguang, then shows Mingming the screenshot of the netizen's share of the C attraction that she saves before, and says to Mingming, ""Look at this"". Weiguang looks back at Xiaohan and smiles at Mingming. Mingming takes the phone, the corners of his mouth rise.","<question>###QUESTION: Why does Xiaohan show Mingming the screenshot of the netizen's share of the C attraction?</question><option>###OPTION: A. Xiaohan finds the C attraction fun through the screenshot shared by netizens, so she recommends it to Mingming. B. Xiaohan and Weiguang intend to go to the C attraction, and ask Mingming's opinion in this way. C. Xiaohan hopes that Mingming also appreciates the pictures taken by netizens together. D. Xiaohan just casually shows Mingming a picture, there is no other meaning.</option>"
5,"Mingming, Xiaohan, and Weiguang are good friends, they plan to drive together for a trip. The three people do not decide where to play, so they are discussing the details of the trip at this moment. Among many tourist attractions, most tourists choose A and B attractions, and fewer people choose C attractions. At this time, Xiaohan and Weiguang look at each other, then Xiaohan reaches out and pats Mingming who is facing away from them. Then, Xiaohan looks at Weiguang, then shows Mingming the screenshot of the netizen's share of the C attraction that she saves before, and says to Mingming, ""Look at this"". Weiguang looks back at Xiaohan and smiles at Mingming. Mingming takes the phone, the corners of his mouth rise.","<question>###QUESTION: What do you think Mingming thinks?</question><option>###OPTION: A. Mingming is shocked by Xiaohan's behavior because they discuss where to go but do not tell him. B. Mingming feels confused, does not understand why Xiaohan suddenly shows him the screenshot of the C attraction. C. Mingming thinks Xiaohan shares a good attraction with him, he is happy to go. D. Mingming feels uneasy because he originally hopes to go to attractions A or B.</option>"
6,"Lele and Xiaowei are in an outdoor sports equipment store, choosing climbing gear. They plan to participate in an upcoming climbing course, but they still lack a team member. While they are chatting, they see Qingqing in the park across the street through the glass window of the shop. Qingqing also notices them and waves at them. Lele suddenly smiles at Xiaowei, purses her lips, and points at Qingqing in the park. Xiaowei looks over with interest. Then, Lele gets up and leaves the store, and Xiaowei quickly follows and walks towards Qingqing.",<question>###QUESTION: Why does Lele suddenly smile at Xiaowei and point at Qingqing?</question><option>###OPTION: A. Lele smiles because she sees Qingqing having fun in the park. B. Lele smiles because she thinks Xiaowei also likes to make friends with Qingqing. C. Lele smiles because she wants to suggest to Xiaowei to consider inviting Qingqing to join the climbing course. D. Lele smiles because she just sees a joke she knows before.</option>
7,"Lele and Xiaowei are in an outdoor sports equipment store, choosing climbing gear. They plan to participate in an upcoming climbing course, but they still lack a team member. While they are chatting, they see Qingqing in the park across the street through the glass window of the shop. Qingqing also notices them and waves at them. Lele suddenly smiles at Xiaowei, purses her lips, and points at Qingqing in the park. Xiaowei looks over with interest. Then, Lele gets up and leaves the store, and Xiaowei quickly follows and walks towards Qingqing.","<question>###QUESTION: Qingqing notices Lele and Xiaowei walking towards her, what is her mood?</question><option>###OPTION: A. Qingqing feels surprised because she does not expect to see them in the park. B. Qingqing feels curious, wanting to know what they are buying in the equipment store. C. Qingqing feels curious, not knowing why Lele and Xiaowei come out of the outdoor sports equipment store to find her. D. Qingqing feels scared, thinking they will invite her to participate in dangerous sports.</option>"
8,"Lin Tao, Hai Lan, and Xiao Ming are good friends, they plan to go on a vacation together during the summer vacation. Xiao Ming hopes to go to the prairie, but Lin Tao and Hai Lan, after careful planning, already choose to go to the seaside. In the lounge, Lin Tao sends a message to Hai Lan. Hai Lan receives it and nods, then looks at Xiao Ming who is next to her. Xiao Ming feels Hai Lan's gaze, raises his head and looks at her. Hai Lan smiles, makes eye contact with Lin Tao, and then says, ""Xiao Ming, we decide to go to the seaside, what do you think?"" Xiao Ming looks at Lin Tao and Hai Lan, hesitates for a moment, and then also nods.","<question>###QUESTION: Why does Hai Lan ask Xiao Ming what he thinks?</question><option>###OPTION: A. Hai Lan really needs Xiao Ming's advice to help plan this trip. B. Hai Lan wants to draw Xiao Ming's attention to the trip, so he participates better. C. Hai Lan is bored, just says something casually. D. Hai Lan actually does not want to hear Xiao Ming's opinion, just wants to inform him of the confirmed result.</option>"
9,"Lin Tao, Hai Lan, and Xiao Ming are good friends, they plan to go on a vacation together during the summer vacation. Xiao Ming hopes to go to the prairie, but Lin Tao and Hai Lan, after careful planning, already choose to go to the seaside. In the lounge, Lin Tao sends a message to Hai Lan. Hai Lan receives it and nods, then looks at Xiao Ming who is next to her. Xiao Ming feels Hai Lan's gaze, raises his head and looks at her. Hai Lan smiles, makes eye contact with Lin Tao, and then says, ""Xiao Ming, we decide to go to the seaside, what do you think?"" Xiao Ming looks at Lin Tao and Hai Lan, hesitates for a moment, and then also nods.","<question>###QUESTION: What do you think Xiao Ming's feelings are?</question><option>###OPTION: A. Xiao Ming feels nervous because he does not know if he can provide useful advice. B. Xiao Ming feels excited because he looks forward to sharing his ideas. C. Xiao Ming feels a bit helpless, but he also has no choice but to accept. D. Xiao Ming has no interest in this trip, he just politely smiles.</option>"
10,"Xiao Chu and Xiao Li are doing a team project together, they hope to improve their plan, so it expresses their ideas better. But another team member, Xiao Min, seems to have some doubts about their plan. One day, when Xiao Min is not there, Xiao Chu and Xiao Li discuss improving the plan together, they find a way. Xiao Chu gives Xiao Li a ""successful gesture"", and nods towards Xiao Min's empty seat, Xiao Li returns a smile. The next day, they show the improved plan to Xiao Min, her expression freezes.","<question>###QUESTION: Why does Xiao Chu make a ""successful gesture"" to Xiao Li?</question><option>###OPTION: A. Xiao Chu makes this gesture to Xiao Li because he thinks this plan is definitely successful. B. Xiao Chu and Xiao Li manage to successfully improve the team project without Xiao Min knowing. C. Xiao Chu is encouraging Xiao Li, letting him have confidence to face Xiao Min's doubts. D. Xiao Chu is expressing his approval for Xiao Li's problem-solving.</option>"
11,"Xiao Chu and Xiao Li are doing a team project together, they hope to improve their plan, so it expresses their ideas better. But another team member, Xiao Min, seems to have some doubts about their plan. One day, when Xiao Min is not there, Xiao Chu and Xiao Li discuss improving the plan together, they find a way. Xiao Chu gives Xiao Li a ""successful gesture"", and nods towards Xiao Min's empty seat, Xiao Li returns a smile. The next day, they show the improved plan to Xiao Min, her expression freezes.",<question>###QUESTION: How do you think Xiao Min feels when she sees the improved plan?</question><option>###OPTION: A. Xiao Min is surprised because she does not expect the project to finish so quickly. B. Xiao Min is very happy because the improved plan meets her ideas. C. Xiao Min is angry because Xiao Chu and Xiao Li discuss the plan without her yesterday. D. Xiao Min feels frustrated because she has no say in the improved plan.</option>
12,"Xinyue and Xueying are good friends in the class. A new semester comes, a new classmate named Qing Shi joins the class, he is introverted and finds it hard to fit into the class. One day at noon, Xinyue and Xueying see him eating lunch alone in the corner, the two look at each other, Xueying nods slightly, then they walk towards Qing Shi together. Qing Shi sees this and shows confusion. Xinyue and Xueying come over, first they chat with him, then suddenly tell a joke, all three of them start to laugh.",<question>###QUESTION: Why do Xinyue and Xueying look at each other and then walk towards Qing Shi together?</question><option>###OPTION: A. Xinyue and Xueying find that Qing Shi's lunch is delicious. B. Xinyue and Xueying want to do homework with Qing Shi. C. Xinyue and Xueying plan to make Qing Shi laugh together to get closer. D. Xinyue and Xueying intend to bully the lonely Qing Shi.</option>
13,"Xinyue and Xueying are good friends in the class. A new semester comes, a new classmate named Qing Shi joins the class, he is introverted and finds it hard to fit into the class. One day at noon, Xinyue and Xueying see him eating lunch alone in the corner, the two look at each other, Xueying nods slightly, then they walk towards Qing Shi together. Qing Shi sees this and shows confusion. Xinyue and Xueying come over, first they chat with him, then suddenly tell a joke, all three of them start to laugh.","<question>###QUESTION: Qingshi sees Xinyue and Xueying coming, what do you think his mood is like at this moment?</question><option>###OPTION: A. He feels scared because he does not know what Xinyue and Xueying plan to do. B. He feels curious, but also a bit nervous. C. He panics, he is afraid of being excluded. D. He is excited, he looks forward to more communication with new friends.</option>"
14,"Zhiming and Jiancheng work together at the community center, they are preparing for a charity event. In the midst of the hustle, Zhiming inadvertently stops to look at the clock on the wall, a sense of urgency flashes across his face, then he looks at Jiancheng. Zhiming walks over to Jiancheng, talks to him for a few moments, and hands him a document with Zhiming's name on it. Jiancheng looks at the document, then nods, his expression is somewhat helpless. Zhiming smiles, pats Jiancheng on the back, and quickly walks away, it is not yet time to get off work. Jiancheng watches Zhiming's departing figure, then looks at the document in his hand again. Xiaoling is a team member of Zhiming and Jiancheng, she notices all of Zhiming's actions.","<question>###QUESTION: Why does Zhiming give Jiancheng that document?</question><option>###OPTION: A. Zhiming plans to let Jiancheng take over the part of the work he does not finish. B. The document is a plan that Jiancheng gives to Zhiming before, Zhiming gives it to Jiancheng indicating that he rejects Jiancheng's plan. C. Zhiming admires Jiancheng's talent and hopes he can provide some creativity and ideas. D. Zhiming wants Jiancheng to deliver this document to the office of the community center.</option>"
